first_name|last_name|Box Size|Account Number|Rush Order|Shipping Date|Delivery Date|Order Date|Courier|Number of Items|Total Cost|Shipping ID|Comments
Tabbi|Langeren|2XL|0011957|N|2022-06-02|2022-06-05|2022-06-01|UPS|1|135.57|000480502|
Lefty|Horsell|S|0002003|N|2022-06-01|2022-06-04|2022-06-01|UPS|2|60.32|000480503|
Catrina|Maudlen|3XL|0012099|N|2022-06-01|2022-06-05|2022-06-01|UPS|1|180.49|000480504|
Elsworth|Finders|XL|0002114|N|2022-06-01|2022-06-05|2022-06-01|FedEx|7|165.06|000480505|
Ariana|Satteford|XS|0002121|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|45.98|000480506|
Tim|Noirel|L|0002214|N|2022-06-02|2022-06-04|2022-06-01|FedEx|2|32.88|000480507|
Gabrielle|Hakonsen|M|0012215|N|2022-06-02|2022-06-06|2022-06-01|FedEx|3|25.08|000480508|
Lester|Domleo|L|0012232|N|2022-06-02|2022-06-06|2022-06-01|FedEx|1|42.44|000480509|
Kassia|Onge|L|0012415|N|2022-06-01|2022-06-07|2022-06-01|DHL|3|123.99|000480510|
Stacee|Revill|XL|0002437|N|2022-06-02|2022-06-06|2022-06-01|UPS|6|23.34|000480511|
Beau|Gynni|XL|0002536|N|2022-06-01|2022-06-03|2022-06-01|UPS|2|41.86|000480512|
Antonietta|Carlozzi|M|0012591|N|2022-06-02|2022-06-06|2022-06-01|UPS|4|52.56|000480513|
Erastus|Weedenburg|XL|0012603|N|2022-06-02|2022-06-08|2022-06-01|USPS|7|46.20|000480514|
Janaya|Livingstone|S|0012829|N|2022-06-01|2022-06-05|2022-06-01|USPS|1|3.10|000480515|
Casandra|Purshouse|XS|0002833|N|2022-06-02|2022-06-07|2022-06-01|USPS|1|50.21|000480516|
Jenelle|Kingswell|M|0002913|N|2022-06-01|2022-06-07|2022-06-01|DHL|1|29.51|000480517|
Josee|Fattorini|XS|0003198|N|2022-06-02|2022-06-05|2022-06-01|FedEx|1|29.20|000480518|
Oralie|Wastall|2XL|0003287|N|2022-06-01|2022-06-07|2022-06-01|UPS|1|246.93|000480519|
Ailbert|Dix|3XL|0013417|N|2022-06-01|2022-06-05|2022-06-01|UPS|1|177.33|000480520|
Drucill|Bussell|L|0013467|N|2022-06-02|2022-06-04|2022-06-01|UPS|3|100.53|000480521|
Rachele|Larvent|2XL|0013637|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|359.52|000480522|
Yankee|Bortolazzi|S|0013712|N|2022-06-01|2022-06-03|2022-06-01|UPS|1|39.87|000480523|
Brinna|Rivelin|2XL|0013722|N|2022-06-02|2022-06-05|2022-06-01|FedEx|1|488.87|000480524|
Barthel|Whitters|S|0003754|N|2022-06-01|2022-06-07|2022-06-01|UPS|1|42.73|000480525|
Cyrus|" Gallifont"|XL|0013901|N|2022-06-01|2022-06-06|2022-06-01|UPS|3|98.76|000480526|
Henry|McCrainor|XS|0013921|N|2022-06-02|2022-06-04|2022-06-01|FedEx|1|4.65|000480527|
Joelly|Syseland|XL|0013923|N|2022-06-01|2022-06-04|2022-06-01|UPS|5|100.45|000480528|
Elli|Jenckes|L|0003986|N|2022-06-01|2022-06-05|2022-06-01|DHL|3|21.75|000480529|
Anitra|Bann|L|0014072|N|2022-06-01|2022-06-07|2022-06-01|UPS|6|67.74|000480530|
Casi|Dagless|M|0004139|N|2022-06-01|2022-06-04|2022-06-01|FedEx|3|22.17|000480531|
Waring|Frick|M|0004206|N|2022-06-01|2022-06-04|2022-06-01|UPS|2|81.82|000480532|
Ranique|Eadie|2XL|0014209|N|2022-06-02|2022-06-04|2022-06-01|UPS|1|373.83|000480533|
Kleon|Iianon|3XL|0004347|N|2022-06-01|2022-06-05|2022-06-01|UPS|1|417.78|000480534|
Kile|Benne|XL|0014429|N|2022-06-01|2022-06-05|2022-06-01|DHL|4|58.48|000480535|
Alistair|Lind|XL|0014664|N|2022-06-02|2022-06-08|2022-06-01|USPS|5|28.15|000480536|
Alessandra|Thorlby|S|0014683|N|2022-06-01|2022-06-07|2022-06-01|FedEx|3|71.13|000480537|
